Artist Name,MusicBrainz ID,Country,Area,Type,Genre Tags,Primary Language,English Ratio,Has English,Estimated Tracks,Albums,EPs,Singles,Total Releases,Latest Release Date,Active Since,Disbanded,MB Size Score,Max Tag Votes,Rating Count,Release Countries
Cheek,3eb680dc-4e8d-4c6b-986e-c69e52549df0,Finland,Finland,Person,"rap, electropop, pop rap, finnish rap",fin,0%,No,177,16,2,7,25,2019-08-23,1981,No,44,3,1,2
Chisu,9b78f51a-c0f2-485c-ba28-fb9bcdb619d1,Finland,Finland,Person,"electronic, pop, art pop, finnish rock, finnish pop",fin,0%,No,94,6,4,14,24,2022-05-06,1982,No,40,2,1,1
Circle,b5bca2fd-5f64-4a54-b508-1b3070e87d38,Finland,Finland,Group,"experimental rock, heavy metal, experimental, rock, krautrock, progrock, speed-kraut, post-rock, psychedelic rock, avant-rock",eng,52%,Yes,250,25,0,0,25,2012-04-21,1991,No,55,2,1,6
Circle of Ouroborus,3bdc4bf0-2bf2-44e9-ae9d-bed6ed4c6424,Finland,Finland,Group,"atmospheric black metal, post-punk, neofolk, dark ambient, blackgaze, black metal",eng,48%,Yes,250,25,0,0,25,2018-12-30,2005,No,51,3,0,6
Coconut Girl,6224c4f0-61e7-4393-a660-a7ea232c5449,Finland,Finland,Person,"bubblegum pop, bubblegum dance, synth-pop, eurodance, europop, euro house, pop, electro, finland, techno",eng,100%,Yes,13,1,0,3,4,1999-06-02,1981,No,12,1,0,1
Cosmo Jones Beat Machine,7da16b7c-027e-46b1-aea6-04aeae126dcf,Finland,Finland,Group,"tundra boogie, blues",eng,100%,Yes,61,6,0,1,7,2021-05-07,1998,No,21,1,0,2
Cosmos Tango,21091f95-604f-4650-b170-81c177301253,Finland,Finland,Group,grunge,fin,0%,No,10,1,0,0,1,1999,1995,No,6,1,0,1
Crucify the Faith,a9b77dac-9014-47c0-beb9-2b37a81370ff,Finland,Finland,Group,"melodic metalcore, melodic death metal",unknown,0%,No,0,0,0,0,0,,2014,No,1,1,0,0
D.A.,de4d21dc-9d67-4ae3-9993-a3e2d7e77990,Finland,Finland,Group,"lo-fi, psychedelic rock",eng,100%,Yes,5,0,1,0,1,1995,,No,6,1,0,1
DJ Kridlokk,085d6e38-e860-4847-9317-6e97e4d0f4a7,Finland,Finland,Person,hip hop,fin,0%,No,60,6,0,0,6,2024-04-04,,No,19,1,0,2
Danny,d04be83f-4330-4144-9c63-078087706582,Finland,Finland,Person,,fin,4%,Yes,250,25,0,0,25,2021-10-29,1942,No,33,0,0,1
Darude,9ffad8aa-b671-4a9a-a527-a95bdaaa0ec4,Finland,Finland,Person,"euro-trance, electronic, trance, finnish",eng,100%,Yes,91,6,3,16,25,2023-11-03,1975,No,63,3,0,10
Dave Lindholm,20f9201d-f046-427e-a754-e810836b266f,Finland,Finland,Person,finnish,fin,20%,Yes,250,25,0,0,25,2010,1952,No,39,1,1,1
Dead Shape Figure,bf665135-3852-4a65-a86e-53475ed53b47,Finland,Finland,Group,"melodic death metal, thrash metal",eng,100%,Yes,95,6,5,10,21,2023-05-12,2003,No,49,1,0,6
Death Hawks,f99dcd9d-63ec-4a14-9267-d0f8e5524a0a,Finland,Finland,Group,psychedelic rock,eng,100%,Yes,42,4,0,2,6,2019-06-07,2010,No,19,1,0,2
Demilich,c12476fc-3f8d-4340-8dba-883bdee08ee7,Finland,Finland,Group,"death metal, technical death metal",eng,100%,Yes,50,3,4,0,8,2021-12-07,1990,No,40,4,1,5
Dharma,03b76496-6dd0-4178-a62b-b6fc4b3a4b85,Finland,Finland,Person,drum and bass,eng,100%,Yes,7,0,1,2,3,2006,,No,10,1,0,1
Dice,d081b441-a574-47e2-92db-b457c3d271a5,Finland,Finland,Person,drum and bass,eng,100%,Yes,15,1,1,0,2,2005-08-10,,No,11,1,0,2
Dingo,f7c46d72-b6d1-4134-a34a-1f054b1aceb9,Finland,Finland,Group,"rock, pop rock",fin,0%,No,160,15,0,10,25,2017-06-09,1982,No,38,2,0,2
Don Johnson Big Band,af409a28-59b6-4a22-bead-aed6ebcbf32a,Finland,Finland,Group,"alternative rock, electronic, hip hop",eng,92%,Yes,84,8,0,4,12,2024-04-05,1997,No,28,1,0,1
DraGonis,851ff3cf-dbfb-4e56-b650-c4f3e35093bd,Finland,Finland,Person,edm,eng,100%,Yes,37,0,3,22,25,2025-03-07,,No,37,1,0,2
Druadan Forest,14a201fa-aee4-4cbb-9504-0049d8d19f9f,Finland,Finland,,"dungeon synth, fantasy, ambient, atmospheric black metal, epic, black metal, symphonic/black-metal / ambient",eng,90%,Yes,120,10,4,0,14,2024-02-23,1998,No,39,2,0,3
EXISTENTIAL DEAD,c869819e-71e9-43a1-b42d-6a19f3a6286f,Finland,Finland,,"post-metal, metalcore",unknown,0%,No,2,0,0,2,2,2024-04-04,,No,8,1,0,1
Edge of Haze,2a20f22b-8ef3-415a-95ac-229fec2702af,Finland,Finland,Group,"progressive rock, progressive metal",eng,100%,Yes,52,4,1,7,12,2022-11-01,2010,No,36,1,1,2
Edu Kettunen,8304551b-7ea3-4022-949d-77cbc9c331ae,Finland,Finland,Person,"rock, singer-songwriter",fin,0%,No,240,24,0,0,25,2023-04-14,1961,No,39,1,1,1
Eero Koivistoinen,e6a4d776-739c-4659-bbde-68f7b8b611eb,Finland,Finland,Person,jazz,eng,71%,Yes,236,23,1,1,25,2023-09-29,1946,No,40,1,0,3
Eero Koivistoinen & Co.,14ca1481-e919-456a-9188-965e329dc571,Finland,Finland,Group,"jazz fusion, jazz",eng,100%,Yes,10,1,0,0,1,1973,,No,6,1,0,1
Eero Koivistoinen Music Society,da49f4f3-527d-4a60-800a-4e9f18d12b4b,Finland,Finland,Group,"jazz fusion, jazz",eng,100%,Yes,20,2,0,0,2,2006,,No,16,1,1,2
Eevil Stöö,4ea14f44-0dc4-441b-b9bf-c92141db4c26,Finland,Finland,Person,"trap, cloud rap",fin,5%,Yes,205,18,5,0,23,2025-08-29,,No,40,1,0,3
Eino Grön,1a3ecb00-86c5-44ab-a0d0-844892f960cd,Finland,Finland,Person,iskelmä,fin,12%,Yes,250,25,0,0,25,2003,1939,No,34,1,0,1
Elastinen,147074e5-3ac8-478b-a852-daf4326281af,Finland,Finland,Person,"hip hop, pop rap",fin,4%,Yes,122,11,0,12,23,2025-05-16,1981,No,43,2,1,2
Eleanoora Rosenholm,30cd038b-0bbc-4e03-8f3e-497c1edffdec,Finland,Finland,Group,"indie pop, art pop",fin,0%,No,45,4,1,0,5,2018-11-30,,No,20,1,0,3
Eläkeläiset,09c8218d-454a-489f-b500-80b305f79917,Finland,Finland,Group,"finnish, humppa",fin,0%,No,220,19,6,0,25,2018,1993,No,51,2,2,3
Ensiferum,6e64cbfa-1a60-450e-81f4-c044c868ab24,Finland,Finland,Group,"melodic death metal, metal, power metal, folk metal, viking metal, viking",eng,100%,Yes,158,13,4,8,25,2026-01-07,1995,No,90,14,10,7
Erja Lyytinen,b58cf0ab-c421-4628-8989-b4aa12e8ed76,Finland,Finland,Person,blues,eng,92%,Yes,205,20,1,0,21,2025-03-28,1976,No,46,1,0,5
Es,5dbb0ed8-e78f-4b5b-aaee-3c654596757e,Finland,Finland,Person,"ambient, drone",fin,27%,Yes,60,6,0,0,6,2014-09-10,,No,22,1,0,3
Esc,79723197-341a-4cf9-a54d-7fd3f5d81e77,Finland,Finland,Person,drum and bass,eng,100%,Yes,5,0,1,0,1,2022-07-14,,No,6,1,0,1
Eturivi,9f7fca61-229a-4c7d-b4f4-a97b77af9ac0,Finland,Finland,Group,"electronic, art pop",fin,0%,No,11,1,0,1,2,2002,,No,8,1,0,1
Fanu,cdd61981-4dda-4990-aaa4-37c96fe30aa8,Finland,Finland,Person,"breaks, drum and bass",eng,91%,Yes,190,13,12,0,25,2025-05-02,1980,No,64,4,3,5
Ferus Melek,57766674-6713-4671-bb3c-823056f9df64,Finland,Finland,Person,"dark electro, synthwave, darksynth, retrowave, darkwave",eng,100%,Yes,53,2,3,18,24,2026-01-09,,No,34,1,0,1
Finntroll,14962b84-c46a-490b-b6a0-ee69c78b2291,Finland,Finland,Group,"swedish, metal, finnish, black metal, folk metal, finland, humppa metal, swedish lyrics, troll metal, suomi",swe,9%,Yes,113,9,4,3,16,2020-09-04,1997,No,88,11,4,9
Fintelligens,9f3fdea7-a51b-4783-b326-e001948bbf45,Finland,Finland,Group,hip hop,fin,0%,No,83,7,0,13,20,2011-06-15,1997,No,39,1,1,1
Forces,ccd36e20-4fa4-4b2e-b2d1-97bd29e9e99f,Finland,Finland,Person,"experimental, electronic",eng,100%,Yes,75,7,1,0,8,2025-07-18,,No,20,1,0,1
Forgotten Horror,3e50cf34-37ad-41e9-8e96-0459ab392fef,Finland,Finland,Group,"occultism, satanism, blackened thrash metal, thrash metal",eng,100%,Yes,25,2,1,0,3,2015-05-15,2004,No,13,1,0,2
Força Macabra,fe610c4d-55d2-466c-9427-614b59d351b5,Finland,Finland,Group,"hardcore metal, thrash metal, hardcore punk",por,0%,No,55,5,1,0,6,2008,1991,No,34,1,0,7
Fractal Man,355ffff2-ab4f-44a5-9d9a-d6a9c392e680,Finland,Finland,,"electronic, downtempo, dance, house",zxx,0%,No,41,0,4,21,25,2024-03-04,2018,No,34,1,0,1
Freckleface,3a5a19c9-8122-40bb-bd0f-7bee81d725f9,Finland,Finland,Person,"dream pop, indie pop, indie rock, psychedelic pop",eng,100%,Yes,15,1,1,0,2,2022-06-11,,No,8,1,0,1
Frederik,4b598be3-8f19-4b21-bcf7-1bbda1d58d39,Finland,Finland,Person,,fin,0%,No,250,25,0,0,25,2014-04-04,1945,No,33,0,0,1
Förgjord,506cb4c9-79b0-4b41-9d0f-d9c8db64da75,Finland,Finland,Group,"satanism, black metal, lycanthropia",eng,57%,Yes,120,10,4,0,15,2025-07-01,1995,No,38,2,0,2
Garden of Worm,55f9efed-ac98-4c42-bb70-6aa08fe667c0,Finland,Finland,Group,"metal, doom metal, psychedelic, psychedelic rock",eng,100%,Yes,40,3,2,0,5,2022-07-18,2003,No,20,1,0,3
Gasellit,98fb770e-142f-4bb9-992b-e91d4ae11a81,Finland,Finland,Group,"hip hop, pop rap",fin,7%,Yes,79,7,1,4,12,2023-03-31,,No,31,1,0,2
Genocide,d53c4f22-8d87-4c8c-92f3-9691d8f10e0c,Finland,Finland,Group,progressive metal,eng,100%,Yes,5,0,1,0,1,2004,2000,No,3,1,0,0
Gloomy Grim,4d359381-3686-4674-a851-20d14c82fea5,Finland,Finland,Group,"anti-christianity, darkness, horror, satan, war, black metal, symphonic black metal, death",eng,100%,Yes,136,11,5,1,17,2021-04-28,1995,No,51,1,1,5
Gnu,f82ad187-3d6d-4666-a12e-95fff9161d21,Finland,Finland,Group,jazz and blues,fin,0%,No,21,2,0,1,3,2006-04-19,,No,10,1,0,1
Goatmoon,4331da4f-052e-42b1-aba9-e69ebeb328ee,Finland,Finland,Group,"nsbm, black metal, metal",eng,82%,Yes,195,14,11,0,25,2025-06-17,2002,No,40,4,0,2
Goldielocks,441f8d9e-3d21-41fd-8e41-c1330ed7815b,Finland,Finland,Person,"pop, synth-pop, suomi pop, umk 2025",eng,100%,Yes,27,1,1,12,14,2025-10-24,2001,No,38,2,1,1
Goon,c6e90d26-8d36-4f6c-b353-74ac8c32ab6a,Finland,Finland,Group,ska,fin,12%,Yes,43,3,2,3,8,2013-11-13,2001,No,20,1,0,1
Grande Mahogany,cce3fef1-eed5-46bc-8daf-c874e1687e6c,Finland,Finland,Group,"funk, psychedelic rock, neo-psychedelia",eng,100%,Yes,10,1,0,0,1,2024-02-09,,No,6,1,0,1
Greenrose Faire,258ad750-4954-45fa-9e91-9e8404097682,Finland,Finland,Group,folk rock,eng,100%,Yes,55,5,1,0,6,2021-06-04,2007,No,16,1,0,1
H-M O,036775b1-ceac-43f5-846a-4507b487f0fd,Finland,Finland,Person,"noise, ambient, experimental, drone",eng,71%,Yes,205,16,9,0,25,2024-09-13,,No,34,1,0,1
Haapoja,058059a2-0753-4848-922b-2191807d3951,Finland,Finland,Group,"humanity, progressive metal, hardcore, death metal",fin,29%,Yes,35,3,1,0,4,2020-03-06,2007,No,21,1,0,4
Haloo Helsinki!,e80bb0ef-c6bb-4769-8d35-4904617c5704,Finland,Finland,Group,"pop, alternative rock, finnish, punk rock, post-punk, indie rock, pop rock, europop, euro-pop, alternative/indie rock",fin,0%,No,132,11,2,12,25,2025-10-10,2006,No,46,5,1,2
Hanging Garden,2920ec0c-96fb-41de-bde9-a692908ffd92,Finland,Finland,Group,"metal, gothic metal, doom metal, death-doom metal",eng,100%,Yes,138,9,8,8,25,2026-03-20,2004,No,48,3,0,5
Hateform,3859f26c-264e-489a-b16c-45d5696ddfb3,Finland,Finland,Group,death thrash metal,eng,100%,Yes,31,3,0,1,6,2013-03-08,2004,No,26,1,2,1
Hausmylly,58cbceba-3776-424d-a75a-c7947f8a1394,Finland,Finland,Group,"pop rap, dance",fin,0%,No,155,15,1,0,16,2011-01-01,1989,No,37,1,0,2
Hector,600bec42-17d9-432b-949c-9ec362b13348,Finland,Finland,Person,"finnish rock, folk rock",fin,0%,No,250,25,0,0,25,2018,1947,No,34,1,0,1
Heikki Kuula,93e117c4-ff07-4f6e-a9a1-f3e4a556e846,Finland,Finland,Person,hip hop,fin,0%,No,81,7,1,6,14,2020-03-13,1983,No,32,1,0,1
Heikki Sarmanto,aef767a2-2407-4160-8396-0eafbbe1c7a6,Finland,Finland,Person,"jazz, jazz fusion, avant-garde jazz, contemporary jazz",eng,68%,Yes,250,25,0,0,25,2007,1939,No,37,1,0,2
Hevein,c1ff0be7-b894-4881-9571-b5175009912b,Finland,Finland,Group,"progressive metal, symphonic thrash metal",eng,100%,Yes,18,1,1,3,5,2012,1992,No,25,1,1,3
