Rank,Artist Name,WF Score,Country,Type,Genre Tags,Primary Language,English Ratio,Last.fm Listeners,Last.fm Plays,Size Category,Estimated Tracks,Albums,EPs,Singles,Latest Release Date,Active Since,Score: Popularity,Score: English,Score: Tracks,Score: Active,Score: Genre,Score: Country,MusicBrainz ID,Last.fm URL,Status
108,Battle Beast,81,Finland,Group,"rock, heavy metal, metal, hard rock, power metal, arena rock, aor, pop metal",eng,100%,170221,8754255,big,111,8,4,11,2025-10-17,2008,8,20,15,15,15,8,d0cb5651-e1f2-4ffb-8ae1-b4b263af75fa,https://www.last.fm/music/Battle+Beast,
109,Before the Dawn,81,Finland,Group,"melodic death metal, metal, gothic metal, death doom metal, death-doom",eng,100%,151039,9853411,big,133,10,5,8,2025-09-05,1999,8,20,15,15,15,8,0915e81d-e897-415c-b129-04dab2843240,https://www.last.fm/music/Before+the+Dawn,
110,Beherit,81,Finland,Group,"ambient, metal, death metal, black metal, dark ambient, darkness, occult, mysticism",eng,100%,107667,4613930,big,200,15,10,0,2025-03-31,1989,8,20,15,15,15,8,65a8ee1c-20ef-4e2d-bf55-33a35bd7e644,https://www.last.fm/music/Beherit,
111,Ensiferum,81,Finland,Group,"melodic death metal, metal, power metal, folk metal, viking metal, viking",eng,100%,498229,40866628,big,158,13,4,8,2026-01-07,1995,8,20,15,15,15,8,6e64cbfa-1a60-450e-81f4-c044c868ab24,https://www.last.fm/music/Ensiferum,
112,Gasellit,81,Finland,Group,"hip hop, pop rap",fin,7%,30898,2267407,wf_sweet_spot,79,7,1,4,2023-03-31,,25,10,15,8,15,8,98fb770e-142f-4bb9-992b-e91d4ae11a81,https://www.last.fm/music/Gasellit,
113,Lost Society,81,Finland,Group,"thrash metal, metal",eng,100%,101221,2376082,big,92,7,2,12,2026-03-06,2010,8,20,15,15,15,8,0a297c4d-9e26-4428-ba33-e99722eeed87,https://www.last.fm/music/Lost+Society,
114,Luomo,81,Finland,Person,"microhouse, house",eng,100%,162356,1861108,big,89,5,5,14,2026-02-27,1976,8,20,15,15,15,8,d0eb9b16-9fb0-4368-9024-2042a60f2ee2,https://www.last.fm/music/Luomo,
115,Marjo Leinonen,81,Finland,Person,"rock, pop, blues",eng,100%,2125,10112,small,20,2,0,0,2023-03-31,1966,15,20,15,8,15,8,4371cae0-4fe6-4a21-938e-32107367d963,https://www.last.fm/music/Marjo+Leinonen,
116,Misha,81,Finland,Person,"instrumental, boom bap, instrumental hip hop, lo-fi hip hop, downtempo, hip hop, chillwave, lo-fi",eng,100%,123422,911425,big,117,8,5,12,2026-02-20,,8,20,15,15,15,8,da31f94b-86c4-4611-8f59-ce4910079ead,https://www.last.fm/music/Misha,
117,Monma,81,Finland,Person,"lo-fi hip hop, hip hop, instrumental hip hop, chillwave, lo-fi, downtempo, instrumental, boom bap",eng,95%,264855,1787370,big,46,2,2,16,2025-12-09,,8,20,15,15,15,8,21ec9aec-c067-4b0f-ba7f-0837bae6e31a,https://www.last.fm/music/Monma,
118,Mors Principium Est,81,Finland,Group,"melodic death metal, death metal, technical death metal",eng,100%,188133,9273146,big,113,9,3,8,2025-09-24,1999,8,20,15,15,15,8,8d08484c-c532-457a-a04c-2510da38744e,https://www.last.fm/music/Mors+Principium+Est,
119,Omnium Gatherum,81,Finland,Group,"melodic death metal, finnish, death metal",eng,96%,153110,7065466,big,157,12,6,7,2025-11-07,1996,8,20,15,15,15,8,9319e8ca-75f1-4d43-acba-eb31c9f1c38e,https://www.last.fm/music/Omnium+Gatherum,
120,Peela,81,Finland,Group,"jazz, jazz fusion",eng,100%,4231,20392,small,16,1,1,1,2023-04-21,,15,20,15,8,15,8,247406d6-f41e-41a8-b711-d8c8ad5423a5,https://www.last.fm/music/Peela,
121,Sielunvihollinen,81,Finland,Group,"melodic black metal, black metal, finland, satanism, anti-christianity, anti-islam",fin,22%,13146,511951,wf_sweet_spot,146,12,5,1,2023-09-08,2011,25,10,15,8,15,8,6000acbf-a8ea-4dc6-b866-550ac1ac3660,https://www.last.fm/music/Sielunvihollinen,
122,Tarja,81,Finland,Person,"heavy metal, metal, crossover, power metal, symphonic metal, symphonic rock, tarja, finlandia",eng,79%,285566,11899103,big,250,25,0,0,2026-06-12,1977,8,20,15,15,15,8,1fd8c24b-eaf3-4ee2-9931-b8130099d789,https://www.last.fm/music/Tarja,
123,Terveet Kädet,81,Finland,Group,"hardcore punk, tornio, finland, punk, thrash metal",fin,24%,22629,839301,wf_sweet_spot,220,19,6,0,2023-03-03,1980,25,10,15,8,15,8,bfa33dfc-16ba-49d6-84ba-5cd8e986e46d,https://www.last.fm/music/+noredirect/Terveet+K%C3%A4det,
124,YOTTO,81,Finland,Person,"trance, downtempo, pop, fixme, dance, house, deep house, techno",eng,100%,197799,2733191,big,145,8,12,5,2025-11-20,1986,8,20,15,15,15,8,7355a02a-b14a-4719-aa09-477b1964b2a3,https://www.last.fm/music/Yotto,
125,cocabona,81,Finland,Person,"lo-fi hip hop, hip hop, instrumental, chillwave, downtempo, instrumental hip hop, lo-fi, boom bap",eng,100%,141159,663833,big,35,1,1,20,2025-09-26,,8,20,15,15,15,8,0c60cfb6-69d8-4159-b413-b89da0c52fed,https://www.last.fm/music/cocabona,
126,Janne Westerlund,80,Finland,Person,singer-songwriter,eng,45%,1381,25514,small,70,7,0,0,2025-11-07,1973,15,15,15,15,12,8,ceb64362-9621-48b4-99fc-bcff703e69b9,https://www.last.fm/music/Janne+Westerlund,
127,Sandman,79,Finland,,synthwave,eng,100%,46301,301568,wf_sweet_spot,15,0,2,5,2023-09-29,,25,20,15,8,3,8,fde1bda7-99a9-44d3-9359-7846e71b237e,https://www.last.fm/music/Sandman,
128,Islaja,78,Finland,Person,psychedelic,fin,15%,45042,736731,wf_sweet_spot,82,8,0,2,2023-10-13,1979,25,10,15,8,12,8,b9ffe330-729d-434b-b34b-9dce5bad0f70,https://www.last.fm/music/Islaja,
129,Jaakko Eino Kalevi,78,Finland,Person,electronic,eng,75%,146772,1760680,big,119,10,3,4,2026-03-19,,8,20,15,15,12,8,81590419-e62c-43dd-9097-aaf6274c77cc,https://www.last.fm/music/Jaakko+Eino+Kalevi,
130,Joose Keskitalo,78,Finland,Person,singer-songwriter,fin,10%,38388,1255983,wf_sweet_spot,132,12,2,2,2024,1982,25,10,15,12,8,8,a7b3fee7-f5d5-4caf-a31e-a2b410baf97a,https://www.last.fm/music/Joose+Keskitalo,
131,Less Gravity,78,Finland,Person,"hip hop, chillwave, instrumental hip hop, lo-fi, instrumental, lo-fi hip hop, downtempo, boom bap",eng,100%,206552,1737256,big,67,2,6,17,2025-12-12,,8,20,15,15,12,8,0d38ff4f-725b-4db3-bd1c-8b7456c44d65,https://www.last.fm/music/Less+Gravity,
132,Max Lilja,78,Finland,Person,"cello, elecronica, acoustic, electric, apocalyptica, hevein, tarja",eng,75%,2620,26815,small,40,4,0,0,2024-05-03,1975,15,20,15,12,8,8,fc6c07b0-e05d-4fa8-a29b-1f49184efdab,https://www.last.fm/music/Max+Lilja,
133,Michael Cassette,78,Finland,Group,"synthwave, progressive house",eng,100%,101985,1080584,big,59,3,3,14,2026-06-19,,8,20,15,15,12,8,b9d537a1-a655-4c71-8466-0a65d69dc012,https://www.last.fm/music/Michael+Cassette,
134,Mineral,78,Finland,Person,drum and bass,eng,100%,280518,8177963,big,61,4,4,1,2025-08-22,,8,20,15,15,12,8,b92fbf93-4e2d-424d-a888-7da5fc41d0b6,https://www.last.fm/music/Mineral,
135,NightStop,78,Finland,Person,"darksynth, synthwave",eng,95%,145308,2348024,big,100,7,3,15,2025-08-01,,8,20,15,15,12,8,692d52cc-2e26-4c44-9a2e-d094fe28070b,https://www.last.fm/music/Nightstop,
136,Rasmus Roimela,78,Finland,Person,"singer-songwriter, indie rock, synth-pop, indie pop, indie folk",eng,100%,11,864,too_small,33,3,0,3,2025-07-25,2004,5,20,15,15,15,8,08b14367-7d7a-4928-80e5-072382724408,https://www.last.fm/music/Rasmus+Roimela,
137,Rytmihäiriö,78,Finland,Group,"thrash metal, hardcore punk, grindcore, crossover thrash, surmacore",fin,7%,32332,2287745,wf_sweet_spot,112,10,2,2,2023-08-11,1988,25,10,15,8,12,8,ce6b102e-63f9-4618-a9cb-9731b5e37c4b,https://www.last.fm/music/+noredirect/Rytmih%C3%A4iri%C3%B6,
138,Swallow the Sun,78,Finland,Group,"metal, finnish, death metal, doom metal, death-doom metal, death doom metal, via mistica",eng,100%,237528,15411875,big,123,10,2,13,2024-10-18,2000,8,20,15,12,15,8,0f6df3f2-01f5-4d9a-a047-a76c907d7b66,https://www.last.fm/music/Swallow+the+Sun,
